variant,L,R,total_steps,n_params,best_train_loss,headline_algo,mean_rollout_err,bfs_err,random_err,n_levels_eval
nopool,4,1,4,3459478,1.173877e-04,bfs,0.0088,0.0088,0.0338,5
nopool,1,4,4,995350,1.413248e-04,bfs,0.0088,0.0088,0.0476,5
nopool,8,1,8,6744982,1.122475e-04,bfs,0.0088,0.0088,0.0322,5
nopool,4,2,8,3459478,1.181492e-04,bfs,0.0136,0.0136,0.0489,5
nopool,2,4,8,1816726,1.247983e-04,bfs,0.0098,0.0098,0.0349,5
nopool,1,8,8,995350,1.382100e-04,bfs,0.0098,0.0098,0.0477,5
nopool,4,4,16,3459478,1.268981e-04,bfs,0.0098,0.0098,0.0433,5
nopool,2,8,16,1816726,1.415944e-04,bfs,0.0190,0.0190,0.0496,5
nopool,1,16,16,995350,1.524776e-04,bfs,0.0359,0.0359,0.0643,5
nopool,2,16,32,1816726,1.519317e-04,bfs,0.0826,0.0826,0.1212,5
nopool,1,32,32,995350,1.493946e-04,bfs,0.0404,0.0404,0.0717,5
nopool,1,64,64,995350,1.582931e-04,bfs,0.0135,0.0135,0.0617,5
nopool_lnonly,16,1,16,13316502,1.217943e-04,bfs,0.0183,0.0183,0.0395,5
nopool_lnonly,1,16,16,995862,1.474437e-04,bfs,0.0280,0.0280,0.0632,5
nopool_skiponly,16,1,16,22753174,1.074184e-04,bfs,0.0088,0.0088,0.0319,5
nopool_skiponly,1,16,16,1585174,1.410140e-04,bfs,0.0088,0.0088,0.0452,5
nopool_stab,16,1,16,22753686,1.286086e-04,bfs,0.0106,0.0106,0.0429,5
nopool_stab,2,8,16,2996886,1.331629e-04,bfs,0.0125,0.0125,0.0382,5
nopool_stab,1,16,16,1585686,1.439086e-04,bfs,0.0088,0.0088,0.0380,5
nopool_stab,2,16,32,2996886,1.474186e-04,bfs,0.0125,0.0125,0.0401,5
nopool_stab,1,32,32,1585686,1.554739e-04,bfs,0.0181,0.0181,0.0517,5
pool,4,1,4,5033366,1.260788e-07,bfs,0.0051,0.0051,0.0061,5
pool,1,4,4,1388822,2.332667e-07,bfs,0.0051,0.0051,0.0056,5
pool,8,1,8,9892758,1.202306e-07,bfs,0.0019,0.0019,0.0039,5
pool,4,2,8,5033366,1.204092e-07,bfs,0.0051,0.0051,0.0053,5
pool,2,4,8,2603670,6.156057e-08,bfs,0.0051,0.0051,0.0039,5
pool,1,8,8,1388822,1.000891e-07,bfs,0.0066,0.0066,0.0057,5
pool,4,4,16,5033366,9.571067e-08,bfs,0.0019,0.0019,0.0042,5
pool,2,8,16,2603670,1.350539e-07,bfs,0.0069,0.0069,0.0060,5
pool,1,16,16,1388822,1.400634e-07,bfs,0.0080,0.0080,0.0086,5
pool,2,16,32,2603670,2.797683e-07,bfs,0.0484,0.0484,0.0669,5
pool,1,32,32,1388822,2.125230e-07,bfs,0.0205,0.0205,0.0591,5
pool,1,64,64,1388822,3.942746e-07,bfs,0.0179,0.0179,0.0315,5
