run,game,final_step,final_change_acc
multi_scaling_gallery_v4_cond_match_s0,card_by_lintsungyueh,150000,0.000000
multi_scaling_gallery_v4_decoder,card_by_lintsungyueh,120000,0.000000
multi_scaling_gallery_v4_cond_match_s0,simple_puzzle_by_paul,150000,0.001587
multi_scaling_gallery_v4_cond_match_s0,impossible_pushing_-_level_2_by_stingby12,150000,0.005435
multi_scaling_gallery_v4_decoder,pathfinding_by_madball,120000,0.007371
multi_scaling_gallery_v4_decoder_sprites_eos,bit_match!_by_unknown_author,150000,0.008621
multi_scaling_gallery_v3_decoder_sprites_eos,el_laberinto_dorado_by_skyemoure,150000,0.013245
multi_scaling_gallery_v4_decoder,switch_switcher_by_increpare,120000,0.013889
multi_scaling_gallery_v4_decoder_sprites_eos,beat_game_test_by_connorses_[loneship_games],150000,0.019391
multi_scaling_gallery_v4_decoder_sprites_eos,simple_puzzle_by_paul,150000,0.020635
multi_scaling_gallery_v4_uncond_match_s0,lasers_by_franklin_p._dyer,150000,0.023569
multi_scaling_gallery_v4_cond_match_s0,bit_match!_by_unknown_author,150000,0.023707
multi_scaling_gallery_v4_decoder_sprites_eos,double_message_by_sevansevan,150000,0.024138
multi_scaling_gallery_v4_cond_match_s1,Cell_Division,150000,0.024510
multi_scaling_gallery_v4_cond_match_s1,One_Way_Street,150000,0.026490
multi_scaling_gallery_v4_cond_match_s0,schatkamer_by_jan-niestadt,150000,0.026627
multi_scaling_gallery_v4_uncond_match_s0,Cell_Division,150000,0.026764
multi_scaling_gallery_v4_decoder_sprites_eos,lasers_by_franklin_p._dyer,150000,0.026936
multi_scaling_gallery_v4_decoder,impossible_pushing_-_level_2_by_stingby12,120000,0.027174
multi_scaling_gallery_v4_decoder_sprites_eos,card_by_lintsungyueh,150000,0.029762
multi_scaling_gallery_v3_decoder_sprites_eos,Slidings,150000,0.032273
multi_scaling_gallery_v4_cond_match_s0,two_coats_and_crates_by_henry-friedman,150000,0.033333
multi_scaling_gallery_v4_decoder_sprites_eos,two_coats_and_crates_by_henry-friedman,150000,0.033333
multi_scaling_gallery_v4_decoder,lasers_by_franklin_p._dyer,120000,0.033670
multi_scaling_gallery_v4_cond_match_s1,on_thin_ice_by_gamez7_with_music_by_roccow,150000,0.033674
multi_scaling_gallery_v4_cond_match_s0,trample_by_jonathan_whiting,150000,0.040174
multi_scaling_gallery_v4_cond_match_s1,switch_switcher_by_increpare,150000,0.040268
multi_scaling_gallery_v4_uncond_match_s0,pathfinding_by_madball,150000,0.041769
multi_scaling_gallery_v4_uncond_match_s0,simple_puzzle_by_paul,150000,0.044444
multi_scaling_gallery_v4_cond_match_s0,One_Way_Street,150000,0.050898
multi_scaling_gallery_v3_decoder_sprites_eos,Singleton_Traffic,150000,0.051749
multi_scaling_gallery_v4_cond_match_s0,switch_switcher_by_increpare,150000,0.052083
multi_scaling_gallery_v4_uncond_match_s0,schatkamer_by_jan-niestadt,150000,0.053254
multi_scaling_gallery_v4_cond_match_s1,card_by_lintsungyueh,150000,0.053571
multi_scaling_gallery_v4_uncond_match_s0,two_coats_and_crates_by_henry-friedman,150000,0.060606
multi_scaling_gallery_v4_cond_match_s1,lasers_by_franklin_p._dyer,150000,0.061594
multi_scaling_gallery_v4_decoder,simple_puzzle_by_paul,120000,0.061905
multi_scaling_gallery_v4_cond_match_s1,Lime_Richard,150000,0.064039
multi_scaling_gallery_v4_uncond_match_s0,switch_switcher_by_increpare,150000,0.065972
multi_scaling_gallery_v4_cond_match_s1,schatkamer_by_jan-niestadt,150000,0.068047
multi_scaling_gallery_v4_cond_match_s0,space_invaders_by_e_is_cool___edited_by_fz0718,150000,0.072634
multi_scaling_gallery_v4_decoder,eventually_this_is_gonna_be_zelda_by_soolseem,120000,0.078818
multi_scaling_gallery_v4_decoder_sprites_eos,Lime_Richard,150000,0.079070
multi_scaling_gallery_v4_cond_match_s1,bit_match!_by_unknown_author,150000,0.080435
multi_scaling_gallery_v4_decoder_sprites_eos,switch_switcher_by_increpare,150000,0.086806
multi_scaling_gallery_v4_cond_match_s1,simple_puzzle_by_paul,150000,0.090000
multi_scaling_gallery_v3_decoder_sprites_eos,constellation_by_jere_majava,150000,0.090476
multi_scaling_gallery_v4_decoder_sprites_eos,trample_by_jonathan_whiting,150000,0.090839
multi_scaling_gallery_v4_cond_match_s1,marbles_by_jcmiller11,150000,0.091847
multi_scaling_gallery_v4_uncond_match_s0,bit_match!_by_unknown_author,150000,0.092672
multi_scaling_gallery_v4_cond_match_s1,Monster_block_push_game,150000,0.094156
multi_scaling_gallery_v4_decoder,two_coats_and_crates_by_henry-friedman,120000,0.096970
multi_scaling_gallery_v4_cond_match_s1,j_by_jack_gilbert,150000,0.097015
multi_scaling_gallery_v4_cond_match_s1,beat_game_test_by_connorses_[loneship_games],150000,0.097701
multi_scaling_gallery_v4_uncond_match_s0,Festive_Lights,150000,0.097765
multi_scaling_gallery_v4_decoder_sprites_eos,skyroad_by_sorendipitous,150000,0.100775
multi_scaling_gallery_v4_decoder,trample_by_jonathan_whiting,120000,0.101331
multi_scaling_gallery_v4_cond_match_s1,space_invaders_by_e_is_cool___edited_by_fz0718,150000,0.104880
multi_scaling_gallery_v4_uncond_match_s0,beat_game_test_by_connorses_[loneship_games],150000,0.105263
multi_scaling_gallery_v4_cond_match_s1,skyroad_by_sorendipitous,150000,0.109155
