run,depth,n_repeats,share,pool,input_skip,tf_step1,tf_mean,ar_step1,ar_mean,ho_mean,ood_mean
neko_d16_nopool_perstep_s0,16,1,per-step,OFF,True,0.014806547619047617,0.011351686507936509,0.014806547619047617,0.06039657738095239,0.006509984608341243,0.0048500881834215165
neko_d16_nopool_shared_s0,16,16,shared,OFF,True,0.015997023809523808,0.012045386904761904,0.015997023809523808,0.06032266865079365,0.009295157826516893,0.004717813051146384
neko_d16_pool_perstep_evolve_n256_s0,16,1,per-step,ON,False,0.002827380952380952,0.0027874503968253967,0.002827380952380952,0.030483630952380946,0.005615372455351738,0.004144620811287478
neko_d16_pool_perstep_evolve_n64_s0,16,1,per-step,ON,False,0.006473214285714285,0.004049355158730158,0.006473214285714285,0.0500297619047619,0.006618438042810939,0.005511463844797178
neko_d16_pool_perstep_s0,16,1,per-step,ON,False,0.009970238095238095,0.005859871031746031,0.009970238095238095,0.04369618055555555,0.005799951968323412,0.00427689594356261
neko_d16_pool_perstep_tpe_n256_30k_s0,16,1,per-step,ON,False,0.0047619047619047615,0.0025471230158730157,0.0047619047619047615,0.025090525793650793,0.005677737246377207,0.003703703703703704
neko_d16_pool_perstep_tpe_n256_5sizes_30k_s0,16,1,per-step,ON,False,0.0017113095238095236,0.0019350198412698412,0.0017113095238095236,0.011184027777777777,0.005563564396290527,0.003968253968253968
neko_d16_pool_perstep_tpe_n256_5sizes_s0,16,1,per-step,ON,False,0.0010416666666666667,0.0016579861111111112,0.0010416666666666667,0.008594990079365079,0.005792811360938251,0.0038800705467372134
neko_d16_pool_perstep_tpe_n256_8x7only_s0,16,1,per-step,ON,False,0.0005952380952380952,0.00021825396825396825,0.0005952380952380952,0.0065476190476190495,0.028661027215793507,0.15198412698412697
neko_d16_pool_perstep_tpe_n256_s0,16,1,per-step,ON,False,0.0011160714285714285,0.00184796626984127,0.0011160714285714285,0.013346478174603174,0.005648592297837489,0.0035714285714285713
neko_d16_pool_perstep_tpe_n512_5sizes_s0,16,1,per-step,ON,False,0.0005952380952380952,0.0012028769841269842,0.0005952380952380952,0.006529017857142857,0.005849709248890434,0.003835978835978836
neko_d16_pool_perstep_tpe_n512_s0,16,1,per-step,ON,False,0.0023809523809523807,0.002466269841269841,0.0023809523809523807,0.022994791666666667,0.005665616506108092,0.003835978835978836
neko_d16_pool_shared_s0,16,16,shared,ON,False,0.00944940476190476,0.006814732142857142,0.00944940476190476,0.05015104166666666,0.006169927356396861,0.00445326278659612
neko_d32_nopool_perstep_s0,32,1,per-step,OFF,True,0.0140625,0.010700892857142855,0.0140625,0.06589657738095238,0.007246287278029868,0.0052028218694885366
neko_d32_nopool_shared_s0,32,32,shared,OFF,True,0.019047619047619046,0.012529017857142855,0.019047619047619046,0.06761780753968255,0.009230870333882249,0.005379188712522046
neko_d32_pool_perstep_s0,32,1,per-step,ON,False,0.006547619047619047,0.00483531746031746,0.006547619047619047,0.04300372023809524,0.00607964375103141,0.004497354497354497
neko_d32_pool_shared_s0,32,32,shared,ON,False,0.012872023809523809,0.007555059523809524,0.012872023809523809,0.056165426587301594,0.0060576851121439184,0.004144620811287478
neko_d8_nopool_perstep_s0,8,1,per-step,OFF,True,0.013095238095238094,0.008945436507936506,0.013095238095238094,0.05427083333333334,0.007561044606713094,0.005335097001763669
neko_d8_nopool_shared_s0,8,8,shared,OFF,True,0.015401785714285712,0.009027777777777775,0.015401785714285712,0.05590873015873016,0.007905319983654796,0.004805996472663139
neko_d8_pool_perstep_s0,8,1,per-step,ON,False,0.008110119047619047,0.005262896825396825,0.008110119047619047,0.04441344246031746,0.005785639457700459,0.004188712522045855
neko_d8_pool_shared_s0,8,8,shared,ON,False,0.008184523809523812,0.005399057539682539,0.008184523809523812,0.04764112103174603,0.006250664857042204,0.004232804232804233
