run,depth,share,pool,bfs_authored,rnd_authored,tf_authored,holdout_synth,ood_synth
neko_d8_nopool_perstep_s0,8,perstep,OFF,0.07254464285714285,0.05868835034013605,0.00511267006802721,0.007561044606713094,0.005335097001763669
neko_d8_pool_perstep_s0,8,perstep,ON,0.03660714285714285,0.0492984693877551,0.004037698412698412,0.005785639457700459,0.004188712522045855
neko_d8_nopool_shared_s0,8,shared,OFF,0.07946428571428571,0.06463435374149659,0.005714285714285714,0.007905319983654796,0.004805996472663139
neko_d8_pool_shared_s0,8,shared,ON,0.04397321428571428,0.04767219387755102,0.002554563492063492,0.006250664857042204,0.004232804232804233
neko_d16_nopool_perstep_s0,16,perstep,OFF,0.05982142857142858,0.06709396258503401,0.011111111111111112,0.006509984608341243,0.0048500881834215165
neko_d16_pool_perstep_evolve_n256_s0,16,perstep,ON,0.05602678571428571,0.04362103174603175,0.0043749999999999995,0.005615372455351738,0.004144620811287478
neko_d16_pool_perstep_evolve_n64_s0,16,perstep,ON,0.08437499999999999,0.07648100907029479,0.0025191326530612243,0.006618438042810939,0.005511463844797178
neko_d16_pool_perstep_s0,16,perstep,ON,0.03147321428571428,0.05410820578231292,0.006469671201814059,0.005799951968323412,0.00427689594356261
neko_d16_pool_perstep_tpe_n256_30k_s0,16,perstep,ON,0.02098214285714286,0.03543154761904762,0.0,0.005677737246377207,0.003703703703703704
neko_d16_pool_perstep_tpe_n256_5sizes_30k_s0,16,perstep,ON,0.011830357142857142,0.02296626984126984,0.003521825396825397,0.005563564396290527,0.003968253968253968
neko_d16_pool_perstep_tpe_n256_5sizes_s0,16,perstep,ON,0.003125,0.016393849206349207,0.0,0.005792811360938251,0.0038800705467372134
neko_d16_pool_perstep_tpe_n256_8x7only_s0,16,perstep,ON,0.0,0.008801020408163263,0.0,0.028661027215793507,0.15198412698412697
neko_d16_pool_perstep_tpe_n256_s0,16,perstep,ON,0.01919642857142857,0.026205357142857145,0.000744047619047619,0.005648592297837489,0.0035714285714285713
neko_d16_pool_perstep_tpe_n512_5sizes_s0,16,perstep,ON,0.006696428571428571,0.010022321428571429,0.0,0.005849709248890434,0.003835978835978836
neko_d16_pool_perstep_tpe_n512_s0,16,perstep,ON,0.03504464285714286,0.03784757653061224,0.004241071428571428,0.005665616506108092,0.003835978835978836
neko_d16_nopool_shared_s0,16,shared,OFF,0.05825892857142857,0.06646896258503401,0.004464285714285714,0.009295157826516893,0.004717813051146384
neko_d16_pool_shared_s0,16,shared,ON,0.053125,0.05506944444444445,0.003337585034013606,0.006169927356396861,0.00445326278659612
neko_d32_nopool_perstep_s0,32,perstep,OFF,0.05825892857142857,0.07196357709750567,0.009419642857142857,0.007246287278029868,0.0052028218694885366
neko_d32_pool_perstep_s0,32,perstep,ON,0.04754464285714285,0.056882794784580505,0.0017630385487528342,0.00607964375103141,0.004497354497354497
neko_d32_nopool_shared_s0,32,shared,OFF,0.0685267857142857,0.07122519841269839,0.010325255102040815,0.009230870333882249,0.005379188712522046
neko_d32_pool_shared_s0,32,shared,ON,0.03169642857142857,0.05560303287981859,0.007276785714285715,0.0060576851121439184,0.004144620811287478
