run,game,bucket,depth,n_steps,n_repeats,axis_pool,global_pool,axis_cummax,input_skip,best_loss,final_loss,final_change_acc,loss_ratio_q3_to_q4,n_train_steps,bfs_err_mean,bfs_err_l0,bfs_err_heldout,astar_err_mean,astar_err_l0,astar_err_heldout,random_err_mean,random_tf_err_mean
Bouncers__A_d8,Bouncers,A,8,8,8,True,True,True,False,0.06016805022954941,0.060197122395038605,1.0,1.176234748511101,15000,0.08242384396230551,0.009259259259259259,0.10071499013806706,,,,0.09382165242165243,0.06809693732193732
Bouncers__B_d8,Bouncers,B,8,8,1,True,True,True,False,0.06080997362732887,0.0608394518494606,1.0,1.1760444751902526,15000,0.0674689270843117,0.001984126984126984,0.08384012710935787,,,,0.08568589743589744,0.0591110398860399
Bouncers__C_d8,Bouncers,C,8,8,8,False,False,False,True,0.06062949448823929,0.06064091622829437,1.0,1.176029773254044,15000,0.058294590025359264,0.001984126984126984,0.07237220578566733,,,,0.08118183760683759,0.05070007122507122
Bouncers__D_d8,Bouncers,D,8,8,1,False,False,False,True,0.060858748853206635,0.06087064370512962,1.0,1.1760543245848099,15000,0.05921229767383614,0.001984126984126984,0.07351934034626342,,,,0.07574722222222222,0.050018874643874646
Heroes_of_Sokoban__A_d8,Heroes_of_Sokoban,A,8,8,8,True,True,True,False,0.07386406511068344,0.07396076619625092,1.0,1.1764484341382524,15000,0.2439587647268674,0.0,0.25557584876148015,0.24412676152046509,0.0,0.255751845402392,0.25725788547948886,0.24090822403537188
Heroes_of_Sokoban__B_d8,Heroes_of_Sokoban,B,8,8,1,True,True,True,False,0.07529491186141968,0.07539341598749161,1.0,1.176240484437666,15000,0.26452117766445127,0.0,0.2771174242199014,0.23904753842976678,0.0,0.25043075454547,0.2532719734505698,0.2427617759141735
Heroes_of_Sokoban__C_d8,Heroes_of_Sokoban,C,8,8,8,False,False,False,True,0.07486122846603394,0.07495933026075363,1.0,1.1764150253745793,15000,0.2638133500068112,0.0,0.27637589048332606,0.2661389027551017,0.0,0.278812183838678,0.28135187164372977,0.23258236935669496
Heroes_of_Sokoban__D_d8,Heroes_of_Sokoban,D,8,8,1,False,False,False,True,0.07587122172117233,0.07597078382968903,1.0,1.179639766929105,15000,0.2569684725006621,0.0,0.2692050664292651,0.2559718397060185,0.0,0.26816097493011465,0.2717713244076382,0.23346848656671335
Microban__A_d8,Microban,A,8,8,8,True,True,True,False,0.0851944163441658,0.08592945337295532,1.0,1.1766017036967151,15000,0.206161104833555,0.0,0.22906789425950555,0.20264682395117636,0.0,0.2251631377235293,0.19626334776334778,0.10145205327080328
Microban__B_d8,Microban,B,8,8,1,True,True,True,False,0.08682551980018616,0.08757446706295013,1.0,1.176161713244437,15000,0.19679677948460045,0.0,0.21866308831622275,0.1921494730299695,0.0,0.2134994144777439,0.20193933982683981,0.06056267135642135
Microban__C_d8,Microban,C,8,8,8,False,False,False,True,0.0862111747264862,0.0869549885392189,1.0,1.1762411698537178,15000,0.23273452443499137,0.0,0.2585939160388794,0.22915110084306586,0.0,0.2546123342700732,0.1972396765271765,0.06440821608946609
Microban__D_d8,Microban,D,8,8,1,False,False,False,True,0.08716784417629242,0.08791990578174591,1.0,1.1761213396634975,15000,0.13992112704311765,0.0,0.15546791893679737,0.1322219941927372,0.0,0.1469133268808191,0.14473157467532466,0.05192919672919673
Travelling_salesman__A_d8,Travelling_salesman,A,8,8,8,True,True,True,False,0.0017014567274600267,0.0017054879572242498,1.0,1.8513678196901604,50000,0.558685718926947,0.45142857142857146,0.5684363686995266,0.5591477072310406,0.45142857142857146,0.568940355940356,0.6702073032448848,0.16244212449112197
