run,bucket,game,n_levels,model_step1,model_rollout,identity_step1,identity_rollout,perfect_step1,beats_identity_step1,eval_dir
authored_scaling6,heldout,Microban,10,0.0036706349206349206,0.028938492063492062,0.013023088023088023,0.018052348885682218,8,1,heldout_eval
single_synth_sokoban_w7,heldout,Microban,10,0.0,0.0,0.013023088023088023,0.018052348885682218,10,1,heldout_eval_full
single_synth_sokoban_w8,heldout,Microban,10,0.0136513949013949,0.05228286502592058,0.013023088023088023,0.018052348885682218,3,0,heldout_eval_full
synth_4games_per_game_size,heldout,Microban,10,0.0013888888888888887,0.007453854016354016,0.013023088023088023,0.018052348885682218,8,1,heldout_eval_full
synth_scaling6_k5,heldout,Microban,10,0.005654761904761905,0.02902757736091069,0.013023088023088023,0.018052348885682218,7,1,heldout_eval_full
synth_scaling6_multigrid_k5,heldout,Microban,10,0.003935185185185185,0.03515368633424189,0.013023088023088023,0.018052348885682218,5,1,heldout_eval_full
synth_scaling6_v7_fallback,heldout,Microban,10,0.0025793650793650793,0.02222663139329806,0.013023088023088023,0.018052348885682218,8,1,heldout_eval_full
authored_scaling6,heldout,Microban_I,20,0.003881448412698413,0.04007188702501203,0.013222853535353535,0.01728157567740901,14,1,heldout_eval
single_synth_sokoban_w7,heldout,Microban_I,30,0.0,0.00020833333333333335,0.01746837708147232,0.0180586152530597,30,1,heldout_eval_full
single_synth_sokoban_w8,heldout,Microban_I,30,0.013371083281797567,0.0416321184571846,0.01746837708147232,0.0180586152530597,10,1,heldout_eval_full
synth_4games_per_game_size,heldout,Microban_I,30,0.002882495590828924,0.020467056318412138,0.01746837708147232,0.0180586152530597,22,1,heldout_eval_full
synth_scaling6_k5,heldout,Microban_I,30,0.0025903880070546736,0.017573916842270016,0.01746837708147232,0.0180586152530597,25,1,heldout_eval_full
synth_scaling6_multigrid_k5,heldout,Microban_I,30,0.006233107721202959,0.03477579961558136,0.01746837708147232,0.0180586152530597,14,1,heldout_eval_full
synth_scaling6_v7_fallback,heldout,Microban_I,30,0.002563618039808516,0.017614170808615253,0.01746837708147232,0.0180586152530597,24,1,heldout_eval_full
