D_train,D_eval,slide_bucket,width_kind,n_runs,argmax_mean,argmax_std
2,1,short (d≤2),train,6,0.8432026186722718,0.021163011612021564
2,1,med (3-7),train,6,0.08333333333333333,0.11785113019775792
2,1,short (d≤2),ood,9,0.839420635891488,0.009350911758075444
2,1,med (3-7),ood,9,0.0,0.0
2,2,short (d≤2),train,6,1.0,0.0
2,2,med (3-7),train,6,0.8452380952380952,0.18633899812498245
2,2,short (d≤2),ood,9,0.9491156679357514,0.008927685640989707
2,2,med (3-7),ood,9,0.6481481481481481,0.19554363038835998
2,4,short (d≤2),train,6,0.9091511210369592,0.02821399251703849
2,4,med (3-7),train,6,0.5119047619047619,0.19195851781663215
2,4,short (d≤2),ood,9,0.8796629802297642,0.027304952831271153
2,4,med (3-7),ood,9,0.5833333333333334,0.20879578303295707
2,8,short (d≤2),train,6,0.2786992030127869,0.05185485578134845
2,8,med (3-7),train,6,0.19642857142857142,0.21002712814734945
2,8,short (d≤2),ood,9,0.23508309459337692,0.032091282454462154
2,8,med (3-7),ood,9,0.21759259259259256,0.15686179950090198
2,16,short (d≤2),train,6,0.1363198458574181,0.05424578563799173
2,16,med (3-7),train,6,0.08928571428571429,0.096163657270259
2,16,short (d≤2),ood,9,0.07713565916643134,0.04351291209711727
2,16,med (3-7),ood,9,0.16666666666666666,0.22652092264305682
2,32,short (d≤2),train,6,0.10955837274478893,0.055194155191715125
2,32,med (3-7),train,6,0.0,0.0
2,32,short (d≤2),ood,9,0.06181086962759588,0.04445184921455219
2,32,med (3-7),ood,9,0.0,0.0
2,64,short (d≤2),train,6,0.0,0.0
2,64,med (3-7),train,6,0.0,0.0
2,64,short (d≤2),ood,9,0.0,0.0
2,64,med (3-7),ood,9,0.0,0.0
4,1,short (d≤2),train,6,0.5870172096689438,0.07696425897380667
4,1,med (3-7),train,6,0.0,0.0
4,1,short (d≤2),ood,9,0.5539383660773302,0.07354615879911515
4,1,med (3-7),ood,9,0.0,0.0
4,2,short (d≤2),train,6,0.9196498949027853,0.02000624538147217
4,2,med (3-7),train,6,0.041666666666666664,0.09316949906249125
4,2,short (d≤2),ood,9,0.8775100416769235,0.018056484566118674
4,2,med (3-7),ood,9,0.0,0.0
4,4,short (d≤2),train,6,1.0,0.0
4,4,med (3-7),train,6,1.0,0.0
4,4,short (d≤2),ood,9,0.9446234050232799,0.006552663877211154
4,4,med (3-7),ood,9,1.0,0.0
4,8,short (d≤2),train,6,0.8051431949553337,0.11212819176415219
4,8,med (3-7),train,6,0.44642857142857145,0.30357142857142855
4,8,short (d≤2),ood,9,0.7974917579969705,0.09603372592286999
4,8,med (3-7),ood,9,0.33796296296296297,0.24330895080501688
4,16,short (d≤2),train,6,0.29235089332632685,0.06042758370959455
4,16,med (3-7),train,6,0.0,0.0
4,16,short (d≤2),ood,9,0.28546955883071035,0.06316819975491832
4,16,med (3-7),ood,9,0.032407407407407406,0.06141897759917407
4,32,short (d≤2),train,6,0.15854352776318095,0.03512742467116317
4,32,med (3-7),train,6,0.0,0.0
4,32,short (d≤2),ood,9,0.14207997499082545,0.05628098922228794
4,32,med (3-7),ood,9,0.0,0.0
4,64,short (d≤2),train,6,0.16048673147661588,0.05044158733608785
4,64,med (3-7),train,6,0.023809523809523808,0.05323971374999499
4,64,short (d≤2),ood,9,0.16049554712855107,0.06185036237378286
4,64,med (3-7),ood,9,0.05092592592592592,0.10718367502583541
8,1,short (d≤2),train,6,0.12017209668943774,0.07578068011119513
8,1,med (3-7),train,6,0.0,0.0
8,1,short (d≤2),ood,9,0.09795826367462702,0.06870781136836689
8,1,med (3-7),ood,9,0.0,0.0
8,2,short (d≤2),train,6,0.37792301629006825,0.13666759520880403
8,2,med (3-7),train,6,0.0,0.0
8,2,short (d≤2),ood,9,0.328829617950627,0.14277200828772185
8,2,med (3-7),ood,9,0.0,0.0
8,4,short (d≤2),train,6,0.889100543002277,0.04267023499058448
8,4,med (3-7),train,6,0.0,0.0
8,4,short (d≤2),ood,9,0.8451149047733393,0.03449221584183794
8,4,med (3-7),ood,9,0.018518518518518517,0.0523782800878924
8,8,short (d≤2),train,6,1.0,0.0
8,8,med (3-7),train,6,1.0,0.0
8,8,short (d≤2),ood,9,0.9446234050232799,0.006552663877211154
8,8,med (3-7),ood,9,1.0,0.0
8,16,short (d≤2),train,6,0.9149971536170957,0.10015759904056075
8,16,med (3-7),train,6,0.9583333333333334,0.09316949906249122
8,16,short (d≤2),ood,9,0.8762693993519162,0.08989410622349096
8,16,med (3-7),ood,9,0.8379629629629629,0.20828188665188874
8,32,short (d≤2),train,6,0.3541666666666667,0.219329847642485
8,32,med (3-7),train,6,0.25,0.2386897339971836
8,32,short (d≤2),ood,9,0.32138513474397556,0.20153630643731416
8,32,med (3-7),ood,9,0.3101851851851852,0.29730730292596896
8,64,short (d≤2),train,6,0.12414061131546679,0.07795967233521903
8,64,med (3-7),train,6,0.1488095238095238,0.18259359107354722
8,64,short (d≤2),ood,9,0.09686021089661012,0.06523571995278596
8,64,med (3-7),ood,9,0.032407407407407406,0.06141897759917407
32,1,short (d≤2),train,6,0.8394804256437206,0.00711048344718862
32,1,med (3-7),train,6,0.0,0.0
32,1,short (d≤2),ood,9,0.847040807542622,0.00166324447212182
32,1,med (3-7),ood,9,0.032407407407407406,0.06141897759917407
32,2,short (d≤2),train,6,0.9846514275705028,0.009248010366880275
32,2,med (3-7),train,6,0.0,0.0
32,2,short (d≤2),ood,9,0.9625194629068332,0.012826773054441364
32,2,med (3-7),ood,9,0.15740740740740738,0.12072597046671572
32,4,short (d≤2),train,6,0.9961628568926257,0.004301222720278044
32,4,med (3-7),train,6,1.0,0.0
32,4,short (d≤2),ood,9,0.9783158173464399,0.011076383754751184
32,4,med (3-7),ood,9,0.9861111111111112,0.03928371006591931
32,8,short (d≤2),train,6,1.0,0.0
32,8,med (3-7),train,6,1.0,0.0
32,8,short (d≤2),ood,9,1.0,0.0
32,8,med (3-7),ood,9,1.0,0.0
32,16,short (d≤2),train,6,1.0,0.0
32,16,med (3-7),train,6,1.0,0.0
32,16,short (d≤2),ood,9,1.0,0.0
32,16,med (3-7),ood,9,1.0,0.0
32,32,short (d≤2),train,6,1.0,0.0
32,32,med (3-7),train,6,1.0,0.0
32,32,short (d≤2),ood,9,1.0,0.0
32,32,med (3-7),ood,9,1.0,0.0
32,64,short (d≤2),train,6,1.0,0.0
32,64,med (3-7),train,6,1.0,0.0
32,64,short (d≤2),ood,9,1.0,0.0
32,64,med (3-7),ood,9,1.0,0.0
