depth,seed,change_err,argmax_acc,d1_acc,d2_acc,d3_acc,d4_acc
16,0,0.4594,0.1989,0.1766,0.2721,0.4167,0.5000
16,1,0.4994,0.1222,0.1318,0.0735,0.0833,0.2500
16,2,0.3689,0.3722,0.3872,0.2426,0.5833,0.7500
32,0,0.4978,0.0867,0.0707,0.1691,0.0833,0.2500
32,1,0.2650,0.3056,0.3302,0.2206,0.0417,0.2500
32,2,0.4961,0.1289,0.1318,0.0882,0.2500,0.2500
64,0,0.4989,0.0678,0.0611,0.1029,0.0417,0.2500
64,1,0.3994,0.4422,0.4986,0.1691,0.2917,0.2500
64,2,0.3900,0.3789,0.4198,0.2059,0.1250,0.2500
8,0,0.5000,0.1622,0.0992,0.4485,0.4167,0.5000
8,1,0.4067,0.1989,0.1997,0.1838,0.2083,0.5000
8,2,0.4217,0.3189,0.3274,0.2721,0.2500,0.7500
