run,n_steps,n_repeats,n_layers,axis_pool,axis_cummax,global_pool,input_skip,mask_hidden,seed,n_total,argmax_overall,argmax_d1,argmax_d2,argmax_d3p,final_loss,final_acc,final_change_acc
varislide_postfixA_d16_s0,16,16,1,True,True,True,False,True,0,900,1.0,1.0,1.0,1.0,0.059601712971925735,1.0,1.0
varislide_postfixA_d16_s1,16,16,1,True,True,True,False,True,1,900,1.0,1.0,1.0,1.0,0.07403489947319031,1.0,1.0
varislide_postfixA_d16_s2,16,16,1,True,True,True,False,True,2,900,1.0,1.0,1.0,1.0,0.05890752375125885,1.0,1.0
varislide_postfixA_d32_s0,32,32,1,True,True,True,False,True,0,900,0.9988888888888889,1.0,1.0,0.9642857142857143,0.05948162078857422,1.0,1.0
varislide_postfixA_d32_s1,32,32,1,True,True,True,False,True,1,900,1.0,1.0,1.0,1.0,0.07313913106918335,1.0,1.0
varislide_postfixA_d32_s2,32,32,1,True,True,True,False,True,2,900,1.0,1.0,1.0,1.0,0.05834103003144264,1.0,1.0
varislide_postfixA_d8_s0,8,8,1,True,True,True,False,True,0,900,1.0,1.0,1.0,1.0,0.06124699488282204,1.0,1.0
varislide_postfixA_d8_s1,8,8,1,True,True,True,False,True,1,900,1.0,1.0,1.0,1.0,0.07545197010040283,1.0,1.0
varislide_postfixA_d8_s2,8,8,1,True,True,True,False,True,2,900,1.0,1.0,1.0,1.0,0.060091760009527206,1.0,1.0
varislide_postfixB_L16R1_s0,16,1,16,True,True,True,False,True,0,900,1.0,1.0,1.0,1.0,0.0613737627863884,1.0,1.0
varislide_postfixB_L16R1_s1,16,1,16,True,True,True,False,True,1,900,1.0,1.0,1.0,1.0,0.07552026212215424,1.0,1.0
varislide_postfixB_L16R1_s2,16,1,16,True,True,True,False,True,2,900,1.0,1.0,1.0,1.0,0.06031018868088722,1.0,1.0
varislide_postfixB_L1R16_s0,16,16,1,True,True,True,False,True,0,900,1.0,1.0,1.0,1.0,0.05979239195585251,1.0,1.0
varislide_postfixB_L1R16_s1,16,16,1,True,True,True,False,True,1,900,1.0,1.0,1.0,1.0,0.07388553768396378,1.0,1.0
varislide_postfixB_L1R16_s2,16,16,1,True,True,True,False,True,2,900,1.0,1.0,1.0,1.0,0.05889004468917847,1.0,1.0
varislide_postfixB_L2R8_s0,16,8,2,True,True,True,False,True,0,900,1.0,1.0,1.0,1.0,0.059874631464481354,1.0,1.0
varislide_postfixB_L2R8_s1,16,8,2,True,True,True,False,True,1,900,1.0,1.0,1.0,1.0,0.0738106295466423,1.0,1.0
varislide_postfixB_L2R8_s2,16,8,2,True,True,True,False,True,2,900,0.9966666666666667,1.0,0.9779411764705882,1.0,0.05874003469944,1.0,1.0
varislide_postfixB_L4R4_s0,16,4,4,True,True,True,False,True,0,900,1.0,1.0,1.0,1.0,0.060606829822063446,1.0,1.0
varislide_postfixB_L4R4_s1,16,4,4,True,True,True,False,True,1,900,1.0,1.0,1.0,1.0,0.07471563667058945,1.0,1.0
varislide_postfixB_L4R4_s2,16,4,4,True,True,True,False,True,2,900,1.0,1.0,1.0,1.0,0.05960797145962715,1.0,1.0
varislide_postfixB_L8R2_s0,16,2,8,True,True,True,False,True,0,900,1.0,1.0,1.0,1.0,0.06135038658976555,1.0,1.0
varislide_postfixB_L8R2_s1,16,2,8,True,True,True,False,True,1,900,1.0,1.0,1.0,1.0,0.07535567879676819,1.0,1.0
varislide_postfixB_L8R2_s2,16,2,8,True,True,True,False,True,2,900,1.0,1.0,1.0,1.0,0.06021786108613014,1.0,1.0
varislide_postfixC_nopool_d16_s0,16,16,1,False,False,False,True,True,0,900,1.0,1.0,1.0,1.0,0.059984419494867325,1.0,1.0
varislide_postfixC_nopool_d16_s1,16,16,1,False,False,False,True,True,1,900,1.0,1.0,1.0,1.0,0.07453892379999161,1.0,1.0
varislide_postfixC_nopool_d16_s2,16,16,1,False,False,False,True,True,2,900,1.0,1.0,1.0,1.0,0.059483133256435394,1.0,1.0
varislide_postfixC_nopool_d32_s0,32,32,1,False,False,False,True,True,0,900,1.0,1.0,1.0,1.0,0.05930102989077568,1.0,1.0
varislide_postfixC_nopool_d32_s1,32,32,1,False,False,False,True,True,1,900,1.0,1.0,1.0,1.0,0.0734180361032486,1.0,1.0
varislide_postfixC_nopool_d32_s2,32,32,1,False,False,False,True,True,2,900,1.0,1.0,1.0,1.0,0.057723380625247955,1.0,1.0
varislide_postfixC_nopool_d8_s0,8,8,1,False,False,False,True,True,0,900,1.0,1.0,1.0,1.0,0.0621807761490345,1.0,1.0
varislide_postfixC_nopool_d8_s1,8,8,1,False,False,False,True,True,1,900,1.0,1.0,1.0,1.0,0.07670652866363525,1.0,1.0
varislide_postfixC_nopool_d8_s2,8,8,1,False,False,False,True,True,2,900,1.0,1.0,1.0,1.0,0.061154190450906754,1.0,1.0
varislide_postfixCp_nopool_noskip_d16_s0,16,16,1,False,False,False,False,True,0,900,1.0,1.0,1.0,1.0,0.058563362807035446,1.0,1.0
