game,"Rule-conditional, Train-14","Rule-conditional, Train-199","Rule-conditional, Train-59","Unconditional param-matched (n_hid=288), Train-14","Unconditional param-matched (n_hid=288), Train-59","Unconditional, Train-14","Unconditional, Train-199","Unconditional, Train-59",identity
my_nana_ate_my_kid_brother_by_ruth_williams,0.0082,0.0106,0.1073,0.0081,0.0081,0.0097,0.0097,0.0095,0.0283
watchers_ritual_by_purpledragon17,0.0051,0.0462,0.0134,0.0051,0.0149,0.0182,0.0184,0.0146,0.0215
monophobic_multiban_by_increpare,0.0042,0.0053,0.0044,0.0280,0.0273,0.0260,0.0309,0.0265,0.0190
link_by_jeffjeff123456,0.0017,0.0124,0.0008,0.0008,0.0011,0.0004,0.0007,0.0007,0.0126
the_single_flame_by_hassan_masood,0.0028,0.0001,0.0014,0.0001,0.0003,0.0000,0.0004,0.0000,0.0066
kitten_rescue_by_unknownprodigy-beep,0.0176,0.0166,0.0313,0.0037,0.0034,0.0045,0.0043,0.0047,0.0213
escape_by_shawn_martin,0.0328,0.0171,0.0467,0.0560,0.0677,0.0709,0.0655,0.0536,0.0344
ice_sliding_by_by_ian_cox,0.0053,0.0052,0.0053,0.0053,0.0096,0.0049,0.0052,0.0248,0.0058
kyles_chesse_cuisine_by_techythanh,0.0230,0.0141,0.0912,0.0170,0.1514,0.0081,0.0252,0.0374,0.0168
megabot_invades!_by_louis_g,0.0220,0.0199,0.0192,0.0220,0.0212,0.0216,0.0103,0.0157,0.0154
cyberpunk_2020_by_gzhao-jpg,0.0320,0.0230,0.0630,0.0509,0.0025,0.0348,0.0055,0.0077,0.0249
the_best_2d_game_ever_created_by_cwm_gaming,0.0320,0.0189,0.0205,0.0765,0.0650,0.0655,0.0177,0.0433,0.0184
block_game_by_emily_dresden,0.0352,0.0269,0.0349,0.0358,0.0262,0.0338,0.0126,0.0232,0.0202
charge_the_bot_by_tiddly5,0.0214,0.0042,0.0174,0.0238,0.0106,0.0112,0.0021,0.0111,0.0036
build_a_snowman_challenges_by_flyingfroakie,0.0519,0.0048,0.0511,0.0376,0.1026,0.0256,0.0055,0.1074,0.0253
________________by_ncrecc,0.0530,0.0261,0.0296,0.0428,0.0943,0.0341,0.0415,0.1214,0.0250
in_the_way_by_giovanni_mota,0.0897,0.0717,0.0925,0.1042,0.1554,0.1109,0.0666,0.1924,0.0580
haberdashery_by_lee2sman,0.0634,0.0202,0.0184,0.1037,0.0339,0.0950,0.0223,0.0284,0.0205
Surround_Yourself_With_Dogs,0.1723,0.0862,0.0905,0.0917,0.0801,0.1716,0.0750,0.0832,0.0767
gdd301_demo_game_by_emma_hubbell,0.1835,0.0068,0.0235,0.1802,0.1115,0.1761,0.0047,0.0536,0.0088
cat_adventure_2_by_whenyoucando,0.2259,0.0603,0.0370,0.1434,0.0167,0.1723,0.0087,0.0235,0.0192
Hamiltwo,0.4738,0.0279,0.0297,0.7907,0.0473,0.7806,0.0607,0.0531,0.0107
pacman__by_cora,0.5152,0.0210,0.0263,0.5364,0.0221,0.5352,0.0211,0.0720,0.0218
ghosts_by_henry-friedman,0.6057,0.0461,0.0367,0.6100,0.0390,0.6320,0.0351,0.0366,0.0351
hedgehogger_by_increpare,0.7628,0.0629,0.0496,0.7150,0.0609,0.7321,0.0734,0.0860,0.0157
a_snowballs_chance_in_hell_by_iznaut,0.8279,0.0533,0.0334,0.6024,0.0587,0.6215,0.0244,0.0575,0.0151
